category,descrip,name,topics,type
b'Recreation',b'The Marine Board has a partnership with many outdoor retailers who provide exceptional customer service to boaters by serving as boat registration agents.',b'Map of Bonded Boat Registration Agents',s://data.oregon.gov/Recreation/Map-of-Bonded-Boat-Registration-Agents/ffmj-ntaw,b'Map'
b'Recreation',"b'Find a boat ramp in a location near you! Hundreds of boating access points, amenities, and launch information is available from this map. New coordinates are being added and other information to make your boating excursion fast and easy.'","b""Oregon's Boating Access Sites""",s://data.oregon.gov/Recreation/Oregon-s-Boating-Access-Sites/t6bs-tkn4,b'Map'
b'Recreation',b'Waterbodies where the use of motors are prohibited.  Waterways where motor boats are not allowed are established in Oregon Administrative Rule 250 or Oregon Statute 830.',b'Motorboat Restrictions in Oregon',s://data.oregon.gov/Recreation/Motorboat-Restrictions-in-Oregon/tkhs-6,b'Dataset'
b'Recreation',"b'Some waterbodies in Oregon have been designated ""electric motor only"" by Oregon Administrative Rule or statute.  These waterbodies have been designated based on their topography, size and traditional boating uses.'","b'""Electric Motor Only"" Waterways in Oregon'",s://data.oregon.gov/Recreation/-Electric-Motor-Only-Waterways-in-Oregon/vkd9-qi8f,b'Dataset'
b'Business',b'(Updated 6/1/2017) List of trademark registrations that are active on the record of the Secretary of State Corporation Division as of the end of the previous month.',b'Active Trademark Registrations',s://data.oregon.gov/Business/Active-Trademark-Registrations/ny3n-dx3,b'Dataset'
b'Natural Resources',,b'Oregon Dept of Environmental Quality',s://data.oregon.gov/Natural-Resources/Oregon-Dept-of-Environmental-Quality/jq6u-z3s,b'Filtered View'
,b'For more information about Public Meetings go to: http://www.oregon.gov/transparency/Pages/PublicMeetingNotices.aspx.',b'CalendarView',s://data.oregon.gov/dataset/CalendarView/9pd7-buqu,b'Calendar'
b'Recreation',b'Recreation Opportunities on Oregon Department of Forestry State Forestland.',b'Camping',s://data.oregon.gov/Recreation/Camping/hycm-6vc7,b'Map'
b'Business',b'New businesses registered with the Secretary of State Corporation Division during the previous month.  Data is updated on the first working day of each month.',b'New Businesses Registered Last Month',s://data.oregon.gov/Business/New-Businesses-Registered-Last-Month/esjy-u4fc,b'Dataset'
b'Revenue & Expense',b'Salaries of state work force sorted by agency - 2015. For more information go to http://www.oregon.gov/transparency/Pages/state_workforce.aspx',"b'Salaries: State Agencies: As of June 30, 2015'",s://data.oregon.gov/Revenue-Expense/Salaries-State-Agencies-As-of-June-30-2015/hhpp-4k,b'Dataset'
