category,descrip,name,topics,type
b'Transportation',b'This data is derived from sensor stations placed on bridges and surface streets within city limits.  Each station has a temperature sensor that measures the temperature of the street surface and a sensor that measures the ambient air temperature at the station each second.  Those values are averaged into temperature readings that are recorded by the station every minute.  The dataset is updated every fifteen minutes with new data.',b'Road Weather Information Stations',Transportation/Road-Weather-Information-Stations/egc4-d24i,b'Dataset'
b'Public Safety',"b'This dataset is all the Police responses to 9-1-1 calls within the city. Police response data shows all officers dispatched. To protect the security of a scene, the safety of officers and the public, and sensitive ongoing investigation, these events are added to the data.seattle.gov only after the incident is considered safe to close out. Data is refreshed on a 4 hour interval.'",b'Seattle Police Department 911 Incident Response',Public-Safety/Seattle-Police-Department-911-Incident-Response/3k2p-39j,b'Dataset'
b'City Business',b'This dataset includes sales data for fleet equipment that was sold in the current and previous two years. This dataset does not include sales data for Seattle City Light (SCL) fleet equipment.',b'Sold Fleet Equipment',City-Business/Sold-Fleet-Equipment/y6ef-jf2w,b'Dataset'
b'Finance',b'Most recent list of fleet equipment sent to auction',b'Current Fleet Surplus/Auction List',Finance/Current-Fleet-Surplus-Auction-List/6gnm-7jex,b'Dataset'
b'Public Safety',b'These incidents are based on initial police reports taken by officers when responding to incidents around the city. The information enters our Records Management System (RMS) and is then transmitted out to data.seattle.gov. This information is published within 6 to 12 hours after the report is filed into the system.',b'Seattle Police Department Police Report Incident',Public-Safety/Seattle-Police-Department-Police-Report-Incident/7ais-f98f,b'Dataset'
b'Public Safety',b'Provides Seattle Fire Department 911 dispatches. Updated every 5 minutes.',b'Seattle Real Time Fire 911 Calls',Public-Safety/Seattle-Real-Time-Fire-911-Calls/kzjm-xkqj,b'Dataset'
b'Permitting',b'Building Permits issued in the past five years or currently in progress',b'Building Permits : Current',Permitting/Building-Permits-Current/mags-97,b'Dataset'
b'Community',"b'This dataset provides a list of websites, blogs, wikis, Twitter feeds, and Facebook pages associated with neighborhood-specific groups and organizations. To add a new site visit http://www.seattle.gov/communitiesonline/addform.htm/jmzd-2qjz'",b'Seattle Communities Online Inventory',Community/Seattle-Communities-Online-Inventory/5ytf-wban,b'Dataset'
b'Public Safety',b'These offenses correspond to the Police Report Incidents\nhttp://data.seattle.gov/dataset/Seattle-Police-Department-Police-Report-Incident/7ais-f98f',b'Seattle Police Department Police Report Offense',Public-Safety/Seattle-Police-Department-Police-Report-Offense/m2gk-mysw,b'Dataset'
b'Public Safety',"b'This dataset includes Police In-Car video activities. Data shows activity of In-Car recorded video including, Officer Serial Number, Start (Date & Time) of video, post recording activity code and description. Data is refreshed on a weekly basis. Data is records of video and does not imply that there is actual playable video associated.'",b'COBAN Logs',Public-Safety/COBAN-Logs/tpvk-5fr3,b'Dataset'
b'Public Safety',b'Seattle Part 1 Crime stats by precinct\nThe precinct and beat data can be found at\nhttp://data.seattle.gov/Government/Seattle-Police-Department-Beats/nnxn-434b',b'Seattle Crime Stats by Police Precinct 2008-Present',Public-Safety/Seattle-Crime-Stats-by-Police-Precinct-2008-Presen/3xqu-vnum,b'Dataset'
b'Community',b'Data set from My Neighborhood Map program.',b'My Neighborhood Map',Community/My-Neighborhood-Map/82su-5fxf,b'Dataset'
b'Public Safety',,b'Recent Fire Reports',Public-Safety/Recent-Fire-Reports/2fzs-85v9,b'Map'
b'Permitting',"b'Permits for performing electrical work, issued in the past three years or currently in progress.'",b'Electrical Permits: Current',Permitting/Electrical-Permits-Current/raim-ay5x,b'Dataset'
,,b'data.seattle.gov GIS shapefile datasets',-seattle-gov-GIS-shapefile-datasets/f7tb-rnu,b'Filtered View'
b'Public Safety',"b'This dataset is all the Police responses to 9-1-1 calls within the city. Police response data shows all officers dispatched. To protect the security of a scene, the safety of officers and the public, and sensitive ongoing investigation, these events are added to the data.seattle.gov only after the incident is considered safe to close out. Data is refreshed on a 4 hour interval.'",b'Seattle Police Department 911 Incident Response',Public-Safety/Seattle-Police-Department-911-Incident-Response/mzrk-e8q,b'Data Lens'
b'Permitting',b'Current and historical information on a variety of over the counter and plan review applications and permits that generally include a public comment process and do not authorize construction activities.',b'Land Use Permits',Permitting/Land-Use-Permits/uyyd-8gak,b'Dataset'
b'Transportation',"b'Vehicle traffic volumes for arterial streets in Seattle based on spot studies that have been adjusted for seasonal variation.\nTo provide a high level view of traffic volumes on major streets in Seattle, and compare changes from year to year.\nThe AAWDT count is a seasonally adjusted average weekday daily total of vehicle traffic for all lanes, i.e. total vehicles in both directions for one average 24-hour business day, Monday through Friday. Only selected arterial streets are included.'",b'Traffic Flow Counts',Transportation/Traffic-Flow-Counts/7svg-ds5z,b'Dataset'
b'City Business',"b""The City of Seattle's active fleet equipment complement is dynamic. This list is updated on a monthly basis.""",b'Active Fleet Complement',City-Business/Active-Fleet-Complement/enxu-fgzb,b'Dataset'
b'Public Safety',b'Violent Part 1 crime statistics by 1990 census tract.',b'Seattle Crime Stats by 1990 Census Tract 1996-2007',Public-Safety/Seattle-Crime-Stats-by-1990-Census-Tract-1996-2007/e3zj-s4z,b'Dataset'
