category,descrip,name,topics,type
b'Transportation',b'The number of new and used vehicles and the sales dollars respectively sold by month.\nData as of October 2016',b'MVA Vehicle Sales Counts by Month for CY 2002 - 2016',s://data.maryland.gov/Transportation/MVA-Vehicle-Sales-Counts-by-Month-for-CY-2002-2016/un65-7i,b'Dataset'
b'Housing',b'COMMUNITY INVESTMENT TAX CREDITS (CITC) support 501(c)(3) nonprofit organizations by awarding allocations of State tax credits for use as incentives to attract contributions from individuals and businesses to benefit local projects and services.\nThis data is to show possible donors what nonprofit organizations they can donate to and see the tax credits still available from those nonprofits.',b'Community Investment Tax Credits',s://data.maryland.gov/Housing/Community-Investment-Tax-Credits/7gad-cu,b'Dataset'
b'Business and Economy',b'Please read all metadata before accessing the dataset. Note that records shown here are updated at different frequencies from data in products from MDP and SDAT. Please see the full documentation at https://data.maryland.gov/api/views/ed4q-f8tm/files/WtRzMltUzm25OasOCYtu7PgOGUfrplWsZTalSH4Iukg?download=true&filename=Real%20Property%20Records%20Documentation.pdf and review the dedicated metadata site (https://data.maryland.gov/dataset/Beta-Maryland-Statewide-Real-Property-Assessments-/ed4q-f8tm/about).',b'Maryland Real Property Assessments: Hidden Property Owner Names',s://data.maryland.gov/Business-and-Economy/Maryland-Real-Property-Assessments-Hidden-Property/ed4q-f8,b'Dataset'
b'Administrative',"b""This dataset shows whether each dataset on data.maryland.gov has been updated recently enough. For example, datasets containing weekly data should be updated at least every 7 days. Datasets containing monthly data should be updated at least every 31 days. This dataset also shows a compendium of metadata from all data.maryland.gov datasets.\nThis report was created by the Department of Information Technology (DoIT) on August 12 2015. New reports will be uploaded daily (this report is itself included in the report, so that users can see whether new reports are consistently being uploaded each week). Generation of this report uses the Socrata Open Data (API) to retrieve metadata on date of last data update and update frequency. Analysis and formatting of the metadata use Javascript, jQuery, and AJAX.\nThis report will be used during meetings of the Maryland Open Data Council to curate datasets for maintenance and make sure the Open Data Portal's data stays up to date.""",b'Dataset Freshness Report for data.maryland.gov - As of June 23 2017',s://data.maryland.gov/Administrative/Dataset-Freshness-Report-for-data-maryland-gov-As-/8ypa-c9d9,b'Dataset'
b'Administrative',"b""This dataset shows whether each dataset on data.maryland.gov has been updated recently enough. For example, datasets containing weekly data should be updated at least every 7 days. Datasets containing monthly data should be updated at least every 31 days. This dataset also shows a compendium of metadata from all data.maryland.gov datasets.\nThis report was created by the Department of Information Technology (DoIT) on August 12 2015. New reports will be uploaded daily (this report is itself included in the report, so that users can see whether new reports are consistently being uploaded each week). Generation of this report uses the Socrata Open Data (API) to retrieve metadata on date of last data update and update frequency. Analysis and formatting of the metadata use Javascript, jQuery, and AJAX.\nThis report will be used during meetings of the Maryland Open Data Council to curate datasets for maintenance and make sure the Open Data Portal's data stays up to date.""",b'Dataset Freshness Report: GOPI Performance Measurement Datasets',s://data.maryland.gov/Administrative/Dataset-Freshness-Report-GOPI-Performance-Measurem/frf6-xmyj,b'Filtered View'
b'Administrative',"b""This dataset shows whether each dataset on data.maryland.gov has been updated recently enough. For example, datasets containing weekly data should be updated at least every 7 days. Datasets containing monthly data should be updated at least every 31 days. This dataset also shows a compendium of metadata from all data.maryland.gov datasets.\nThis report was created by the Department of Information Technology (DoIT) on August 12 2015. New reports will be uploaded daily (this report is itself included in the report, so that users can see whether new reports are consistently being uploaded each week). Generation of this report uses the Socrata Open Data (API) to retrieve metadata on date of last data update and update frequency. Analysis and formatting of the metadata use Javascript, jQuery, and AJAX.\nThis report will be used during meetings of the Maryland Open Data Council to curate datasets for maintenance and make sure the Open Data Portal's data stays up to date.""",b'Dataset Freshness Report - Datasets with DoIT Portal Administrative Ownership',s://data.maryland.gov/Administrative/Dataset-Freshness-Report-Datasets-with-DoIT-Portal/s5di-jkg2,b'Filtered View'
b'Administrative',"b""This dataset shows whether each dataset on data.maryland.gov has been updated recently enough. For example, datasets containing weekly data should be updated at least every 7 days. Datasets containing monthly data should be updated at least every 31 days. This dataset also shows a compendium of metadata from all data.maryland.gov datasets.\nThis report was created by the Department of Information Technology (DoIT) on August 12 2015. New reports will be uploaded daily (this report is itself included in the report, so that users can see whether new reports are consistently being uploaded each week). Generation of this report uses the Socrata Open Data (API) to retrieve metadata on date of last data update and update frequency. Analysis and formatting of the metadata use Javascript, jQuery, and AJAX.\nThis report will be used during meetings of the Maryland Open Data Council to curate datasets for maintenance and make sure the Open Data Portal's data stays up to date.""",b'Dataset Freshness Report: Breakout by Agency',s://data.maryland.gov/Administrative/Dataset-Freshness-Report-Breakout-by-Agency/mb32-u83,b'Filtered View'
b'Business and Economy',"b'This dataset is a supplement to the statewide dataset of Real Property Assessments, at https://data.maryland.gov/view/sjn4-j6z3, which shows all properties in the state and assessment data from SDAT and MDP.'",b'Maryland Real Property Assessments: Fields Reference',s://data.maryland.gov/Business-and-Economy/Maryland-Real-Property-Assessments-Fields-Referenc/w8th-47fz,b'Dataset'
b'Public Safety',"b""This data set shows four sources of grant funding for the Governor's Office of Homeland Security (GOHS) and respective awards from 2003 to 2014. This dataset is not being updated anymore. However, as of June 2017 we are working on an improved dataset that can show funding and other measures together in order to demonstrate impact, efficiency, effectiveness on the utilization of grants, not just the dollar amounts of the grants as was previously reported.""",b'Homeland Security Grant Awards',s://data.maryland.gov/Public-Safety/Homeland-Security-Grant-Awards/sw28-ginq,b'Dataset'
b'Business and Economy',"b""This dataset uses seasonally adjusted data from the US Bureau of Labor Statistics to present information on Maryland's labor force participation rate, employment rate, and unemployment rate.""","b'Employment, Unemployment, and Labor Force Data'",s://data.maryland.gov/Business-and-Economy/Employment-Unemployment-and-Labor-Force-Data/ub9y-b3w,b'Dataset'
